sigma,sign,type,m,src,isValidation,id,graphtype,offset,answer,error,unsignedError,index
0.2,-1,line,0.1,data/Exp3/line/line/S0.2m-0.1.png,,1,line,0.04,0.055,-0.01,0.01,66
0.05,-1,line,0.4,data/Exp3/line/area/S0.05m-0.4.png,,1,area,0.01,0,0.01,0.01,67
0.05,1,trig,0.2,data/Exp3/trig/area/S0.05m0.2.png,,1,area,0.09,0.055,0.03,0.03,68
0.1,-1,trig,0.1,data/Exp3/trig/area/S0.1m-0.1.png,,1,area,-0.11,-0.15,0.04,0.04,69
0.05,1,trig,0.4,data/Exp3/trig/line/S0.05m0.4.png,,1,line,0.08,0.075,0.01,0.01,70
0.15,1,quad,0.8,data/Exp3/quad/area/S0.15m0.8.png,,1,area,-0.15,-0.245,0.1,0.1,71
0.15,-1,trig,0.2,data/Exp3/trig/area/S0.15m-0.2.png,,1,area,-0.18,-0.22,0.04,0.04,72
0.15,-1,quad,0.8,data/Exp3/quad/area/S0.15m-0.8.png,,1,area,-0.04,-0.06,0.02,0.02,73
0.05,1,quad,0.8,data/Exp3/quad/area/S0.05m0.8.png,,1,area,-0.2,-0.205,0,0,74
0.2,1,line,0.1,data/Exp3/line/line/S0.2m0.1.png,,1,line,-0.17,-0.195,0.02,0.02,75
0.1,-1,quad,0.4,data/Exp3/quad/scatter/S0.1m-0.4.png,,1,scatter,-0.01,-0.04,0.03,0.03,76
0.1,-1,line,0.8,data/Exp3/line/line/S0.1m-0.8.png,,1,line,-0.18,-0.205,0.02,0.02,77
0.05,-1,line,0.1,data/Exp3/line/line/S0.05m-0.1.png,,1,line,0.13,0.12,0.01,0.01,78
0.2,-1,trig,0.4,data/Exp3/trig/line/S0.2m-0.4.png,,1,line,-0.19,-0.165,-0.02,0.02,79
0.2,-1,quad,0.2,data/Exp3/quad/line/S0.2m-0.2.png,,1,line,-0.11,-0.13,0.02,0.02,80
0.05,1,quad,0.1,data/Exp3/quad/area/S0.05m0.1.png,,1,area,-0.17,-0.185,0.01,0.01,81
0.05,1,quad,0.2,data/Exp3/quad/scatter/S0.05m0.2.png,,1,scatter,-0.08,-0.105,0.02,0.02,82
0.2,-1,quad,0.2,data/Exp3/quad/area/S0.2m-0.2.png,,1,area,0.04,-0.07,0.11,0.11,83
