sigma,sign,type,m,src,isValidation,id,graphtype,answer,error,unsignedError,index
0.1,-1,trig,0.1,data/Exp2/trig/area/S0.1m-0.1.png,,2,area,0.03,-0.13,0.13,15
0.2,1,quad,0.1,data/Exp2/quad/line/S0.2m0.1.png,,2,line,0.05,0.05,0.05,16
0.2,-1,line,0.1,data/Exp2/line/line/S0.2m-0.1.png,,2,line,0.02,-0.12,0.12,17
0.2,1,quad,0.8,data/Exp2/quad/scatter/S0.2m0.8.png,,2,scatter,0.91,-0.11,0.11,18
0.15,1,quad,0.2,data/Exp2/quad/scatter/S0.15m0.2.png,,2,scatter,0.26,-0.06,0.06,19
0.2,1,quad,0.4,data/Exp2/quad/scatter/S0.2m0.4.png,,2,scatter,0.61,-0.21,0.21,20
0.15,-1,line,0.8,data/Exp2/line/scatter/S0.15m-0.8.png,,2,scatter,-1,0.2,0.2,21
0.15,1,line,0.1,data/Exp2/line/area/S0.15m0.1.png,,2,area,0.08,0.02,0.02,22
0.15,1,line,0.1,data/Exp2/line/line/S0.15m0.1.png,,2,line,0.05,0.05,0.05,23
0.1,-1,line,0.8,data/Exp2/line/scatter/S0.1m-0.8.png,,2,scatter,-0.58,-0.22,0.22,24
0.2,-1,line,0.4,data/Exp2/line/scatter/S0.2m-0.4.png,,2,scatter,-0.55,0.15,0.15,26
0.15,1,trig,0.2,data/Exp2/trig/area/S0.15m0.2.png,,2,area,0.42,-0.22,0.22,27
0.2,1,trig,0.2,data/Exp2/trig/area/S0.2m0.2.png,,2,area,0.03,0.17,0.17,28
0.15,1,line,0.2,data/Exp2/line/line/S0.15m0.2.png,,2,line,0.31,-0.11,0.11,29
0.15,1,quad,0.8,data/Exp2/quad/scatter/S0.15m0.8.png,,2,scatter,0.96,-0.16,0.16,30
0.05,1,trig,0.2,data/Exp2/trig/area/S0.05m0.2.png,,2,area,0.24,-0.04,0.04,31
0.1,-1,quad,0.4,data/Exp2/quad/scatter/S0.1m-0.4.png,,2,scatter,-0.55,0.15,0.15,32
0.15,1,quad,0.8,data/Exp2/quad/area/S0.15m0.8.png,,2,area,1,-0.2,0.2,33
0.1,-1,quad,0.2,data/Exp2/quad/area/S0.1m-0.2.png,,2,area,-0.39,0.19,0.19,34
0.2,1,quad,0.4,data/Exp2/quad/line/S0.2m0.4.png,,2,line,0.47,-0.07,0.07,35
0.1,-1,trig,0.1,data/Exp2/trig/line/S0.1m-0.1.png,,2,line,-0.19,0.09,0.09,36
0.2,-1,line,0.2,data/Exp2/line/line/S0.2m-0.2.png,,2,line,-0.37,0.17,0.17,37
0.15,-1,trig,0.1,data/Exp2/trig/scatter/S0.15m-0.1.png,,2,scatter,-0.24,0.14,0.14,38
0.15,-1,line,0.2,data/Exp2/line/line/S0.15m-0.2.png,,2,line,-0.26,0.06,0.06,39
0.15,-1,quad,0.4,data/Exp2/quad/line/S0.15m-0.4.png,,2,line,-0.41,0.01,0.01,40
0.15,-1,trig,0.2,data/Exp2/trig/scatter/S0.15m-0.2.png,,2,scatter,-0.36,0.16,0.16,41
0.2,-1,line,0.8,data/Exp2/line/scatter/S0.2m-0.8.png,,2,scatter,-0.67,-0.13,0.13,42
0.15,-1,line,0.4,data/Exp2/line/area/S0.15m-0.4.png,,2,area,-0.62,0.22,0.22,43
0.1,1,trig,0.1,data/Exp2/trig/area/S0.1m0.1.png,,2,area,0.17,-0.07,0.07,44
0.1,1,quad,0.8,data/Exp2/quad/scatter/S0.1m0.8.png,,2,scatter,0.78,0.02,0.02,45
0.05,1,line,0.2,data/Exp2/line/line/S0.05m0.2.png,,2,line,0.3,-0.1,0.1,46
0.1,-1,trig,0.8,data/Exp2/trig/area/S0.1m-0.8.png,,2,area,-0.72,-0.08,0.08,47
0.1,1,quad,0.4,data/Exp2/quad/scatter/S0.1m0.4.png,,2,scatter,0.49,-0.09,0.09,48
0.15,-1,line,0.1,data/Exp2/line/line/S0.15m-0.1.png,,2,line,0.08,-0.18,0.18,49
0.15,-1,quad,0.1,data/Exp2/quad/area/S0.15m-0.1.png,,2,area,0.15,-0.25,0.25,50
0.2,-1,quad,0.2,data/Exp2/quad/area/S0.2m-0.2.png,,2,area,-0.23,0.03,0.03,51
